     -45.6273543615409878      -52.1958356423165881      -18.5648685070948893
     -45.6257440796698646      -52.1975806045816029      -18.5592950561656380
     -45.6241323477306153      -52.1998184261080098      -18.5523324958031282
     -45.6227416596823687      -52.2026567651137583      -18.5437682095092136
     -45.6219293191217830      -52.2060686932732381      -18.5338236856816465
     -45.6220383980720001      -52.2100381881492979      -18.5226838637419782
     -45.6234086064817888      -52.2145486528005804      -18.5105340632366229
     -45.6263827167331684      -52.2195758327415334      -18.4975827739084835
     -45.6313113231622296      -52.2250824053120937      -18.4840791259803829
     -45.6385576021829991      -52.2310126119326625      -18.4703303228532505
     -45.6485033989034363      -52.2372856395571148      -18.4567232407930781
     -45.6615583705953512      -52.2437860650917614      -18.4437556854559723
     -45.6781753207960435      -52.2503483083256342      -18.4320872532215496
     -45.6988786132713756      -52.2567283743820639      -18.4226316749910666
     -45.7235648343897765      -52.2632832343319293      -18.4143368316222293
     -45.7517215752993707      -52.2707557137420551      -18.4048811969701873
     -45.7835353898267456      -52.2791966935345300      -18.3941959144861578
     -45.8191848532784647      -52.2886527273121828      -18.3822206007835760
     -45.8588384788804220      -52.2991675029403780      -18.3688982921019317
     -45.9026543213522302      -52.3107817012600975      -18.3541756446964364
     -45.9507796184690704      -52.3235328571925820      -18.3380031485743054
     -46.0033504720472450      -52.3374552224249712      -18.3203353585010227
     -46.0604915696718891      -52.3525796290928227      -18.3011311455840939
     -46.1223159483901739      -52.3689333541876465      -18.2803539718918771
     -46.1889248014200717      -52.3865399847502857      -18.2579721896159128
     -46.2604073286206017      -52.4054192842265678      -18.2339593653226544
     -46.3368406310338159      -52.4255870606489367      -18.2082946288811343
     -46.4182896492771349      -52.4470550375707205      -18.1809630456998370
     -46.5048071449614753      -52.4698307289234336      -18.1519560099446231
     -46.5964337160773709      -52.4939173177701264      -18.1212716563273553
     -46.6931978148164433      -52.5193135377472515      -18.0889152818086920
     -46.7951158067918129      -52.5460135721841368      -18.0548997513861167
     -46.9021920764190483      -52.5740069713654918      -18.0192458892006044
     -47.0144191572414911      -52.6032785850286828      -17.9819828546909832
     -47.1317778822796996      -52.6338085122895194      -17.9431484953472946
     -47.2542375498290141      -52.6655720713387510      -17.9027896668730868
     -47.3817560998605529      -52.6985397911668372      -17.8609625111769468
     -47.5142802960458823      -52.7326774274392136      -17.8177326823720144
     -47.6517459084263635      -52.7679460044588993      -17.7731755108854799
     -47.7940778918900477      -52.8043018849146932      -17.7273760958886264
     -47.9411905559051732      -52.8416968688286133      -17.6804293165574506
     -48.0929877213961703      -52.8800783227904958      -17.6324397531718056
     -48.2493628612341752      -52.9193893402092286      -17.5835215097568032
     -48.4101992215492629      -52.9595689329281072      -17.5337979308661041
     -48.5753699219478818      -53.0005522541562470      -17.4834012061938502
     -48.7447380341551053      -53.0422708523586479      -17.4324718578980438
     -48.9181566977524867      -53.0846529655077290      -17.3811581020706996
     -49.0954694139517471      -53.1276238637287932      -17.3296151169453765
     -49.2765102787801226      -53.1711061754775756      -17.2780043038408522
     -49.4611041508873157      -53.2150202109718578      -17.2264924933760035
