     -29.1606860682728701      -40.9260675631599753      -33.9991353060626409
     -29.1570402987311752      -40.9341455828810155      -33.9886921660955181
     -29.1533912620747344      -40.9443488560570756      -33.9756822785253121
     -29.1502426919500799      -40.9570648133150144      -33.9597326633606258
     -29.1484035278089557      -40.9720542347102494      -33.9412844151007818
     -29.1486504856890321      -40.9891298998190052      -33.9207097090120442
     -29.1517526831461389      -41.0081033658972274      -33.8983811391777721
     -29.1584862073833833      -41.0287522355206207      -33.8747145969273831
     -29.1696449214902209      -41.0507952056210144      -33.8502022453076847
     -29.1860512810475292      -41.0738672958448063      -33.8254455145989681
     -29.2085701650450176      -41.0974892178430977      -33.8011960312075459
     -29.2381296423723569      -41.1210230128191228      -33.7784148212348256
     -29.2757557759092322      -41.1435996968123163      -33.7583685314873350
     -29.3226370767501834      -41.1639875473254975      -33.7428038808523141
     -29.5148746799171100      -40.9091166533212061      -34.0891515218947632
     -29.5814544636673311      -40.9261412029110616      -34.0818130079596813
     -29.6566877906257993      -40.9453790257292667      -34.0735168443014729
     -29.7409988359976154      -40.9669388719317809      -34.0642148280648556
     -29.8347880905944649      -40.9909234986802673      -34.0538611490951055
     -29.9384313194411824      -41.0174293865542481      -34.0424125403898046
     -30.0522785799082328      -41.0465464519445078      -34.0298284532411586
     -30.1766533024830323      -41.0783577511173803      -34.0160712638682057
     -30.3118514369029342      -41.1129391722468327      -34.0011065175305305
     -30.4581406658323957      -41.1503591125693617      -33.9849032149674954
     -30.6157596877819209      -41.1906781388116201      -33.9674341446846526
     -30.7849175706545282      -41.2339486301140354      -33.9486762632063446
     -30.9657931771745965      -41.2802144037885839      -33.9286111239641670
     -31.1585346634565461      -41.3295103254017491      -33.9072253539916559
     -31.3632590520693775      -41.3818619058611645      -33.8845111760280986
     -31.5800518911838246      -41.4372848937885649      -33.8604669686636726
     -31.8089670359104240      -41.4957848957506528      -33.8350978320636528
     -32.0500264889641358      -41.5573570271880186      -33.8084161425241163
     -32.3032202968179263      -41.6219855850623688      -33.7804421049938313
