     -23.3119823830325679      -19.5372934959114346       48.7063694363331834
     -23.3082950502631867      -19.5224056678855433       48.7118463752345292
     -23.3047645395312095      -19.5038484878534923       48.7188082160628895
     -23.3020140100000575      -19.4810831096189716       48.7275487312358138
     -23.3009790632381630      -19.4547310651854808       48.7379378147392472
     -23.3025612457875546      -19.4253157335681514       48.7498803163691079
     -23.3076530475079515      -19.3933610814446453       48.7632802005653474
     -23.3171525889048077      -19.3594526475976139       48.7780186383595762
     -23.3319744573267052      -19.3242843621244411       48.7939374480118246
     -23.3530605636672171      -19.2887053383117184       48.8108227555590375
     -23.3813941031566337      -19.2537779016575250       48.8283848107316985
     -23.4180206456333124      -19.2208615728523711       48.8462286679782167
     -23.4640836456208604      -19.1917496752110033       48.8638061547792688
     -23.5208903979142789      -19.1689172138910742       48.8803280586496101
     -23.5882867972836614      -19.1495708565568918       48.8968781675153323
     -23.6651650211990656      -19.1275106200849869       48.9157385292106639
     -23.7520381779418486      -19.1025706171201932       48.9370363244662983
     -23.8493975332009285      -19.0746058831846490       48.9608864463240039
     -23.9577075317407377      -19.0434787294999381       48.9873961158236568
     -24.0774047464209353      -19.0090591814653109       49.0166645112834942
     -24.2088969216732899      -18.9712254584621149       49.0487824116153774
     -24.3525621141282151      -18.9298645054220067       49.0838318528953650
     -24.5087479328641180      -18.8848725851143939       49.1218857979808874
     -24.6777708816093551      -18.8361559380707000       49.1630078197382048
     -24.8599158049145075      -18.7836315147678761       49.2072517992581524
     -25.0554354396982717      -18.7272277823221280       49.2546616411983393
     -25.2645500726549557      -18.6668856055447669       49.3052710090661748
     -25.4874473028727415      -18.6025591997840287       49.3591030838522116
     -25.7242819077054605      -18.5342171504930597       49.4161703499413179
     -25.9751757907139016      -18.4618434933240181       49.4764744097882812
     -26.2402179382101259      -18.3854388321192488       49.5400058276280291
     -26.5194644770021846      -18.3050214384663299       49.6067440361865053
     -26.8129388444518320      -18.2206283348472979       49.6766573067006760
     -27.1206320212216596      -18.1323163574977144       49.7497027760852575
     -27.4425028157195747      -18.0401631774278144       49.8258265358838131
     -27.7784781901207225      -17.9442682559852713       49.9049637874079579
     -28.1284536172611475      -17.8447537100191056       49.9870390666501905
     -28.4922934574173041      -17.7417650607472588       50.0719665415508217
     -28.8698313440134626      -17.6354718398907444       50.1596503830153253
     -29.2608705676491176      -17.5260680265687014       50.2499852097290827
     -29.6651844485214298      -17.4137722888781283       50.3428566053350153
     -30.0825166883452937      -17.2988280050409244       50.4381417049627245
     -30.5125816942460659      -17.1815030404982707       50.5357098464757755
     -30.9550648688145529      -17.0620892593801621       50.6354232801896131
     -31.4096228625530571      -16.9409017513676652       50.7371379292675613
     -31.8758837882915884      -16.8182777579402973       50.8407041917725877
     -32.3534475367123520      -16.6945752785143142       50.9459677950013230
     -32.8418865262865438      -16.5701714318842193       51.0527706856869870
     -33.3407470529363579      -16.4454586779121534       51.1609453560081917
     -33.8495509364700524      -16.3208397454591356       51.2703051964596170
     -34.3677946523445144      -16.1967295712171477       51.3806571453020169
     -34.8949495799243934      -16.0735538053722351       51.4918047103928274
     -35.4304625261787791      -15.9517464071182111       51.6035488134792999
     -35.9737562866763838      -15.8317470541135243       51.7156886254482231
     -36.5242302536536911      -15.7139983797857354       51.8280223864104101
     -37.0812610818625359      -15.5989430551410209       51.9403482055532280
     -37.6442034236804233      -15.4870207345183388       52.0524648368698877
     -38.2123907455553180      -15.3786648875033070       52.1641724281242745
     -38.7851362382210212      -15.2742995419563083       52.2752732416898738
     -39.3617338332256921      -15.1743359657713750       52.3855723471549908
     -39.9414593381295759      -15.0791693175315924       52.4948782867603896
     -40.5235713877815229      -14.9891753114076689       52.6030036675818025
     -41.1073092710915518      -14.9047066724481834       52.7097653370694559
     -41.6918904455012154      -14.8260881168889167       52.8149848999346645
     -42.2765112213536440      -14.7536104744370942       52.9184898944516817
     -42.8603481011212040      -14.6875249539303763       53.0201150054883712
     -43.4425594867090439      -14.6280377202140812       53.1197032506833651
     -44.0222876406040555      -14.5753049316101997       53.2171072933964240
     -44.5986579642137855      -14.5294295110539178       53.3121951936355671
     -45.1707813715127386      -14.4904573472414064       53.4048519268330466
     -45.7377608980571679      -14.4583725340747229       53.4949748134557694
